lat,long,id,display_name,date,cases
48.054913,-121.766412,Snohomish @ Washington,Snohomish @ Washington,2020-01-21,1
33,65,Afghanistan,Afghanistan,2020-01-22,0
41.1533,20.1683,Albania,Albania,2020-01-22,0
53.9333,-116.5765,Alberta @ Canada,Alberta,2020-01-22,0
28.0339,1.6596,Algeria,Algeria,2020-01-22,0
42.5063,1.5218,Andorra,Andorra,2020-01-22,0
-11.2027,17.8739,Angola,Angola,2020-01-22,0
31.8257,117.2264,Anhui @ China,Anhui,2020-01-22,1
17.0608,-61.7964,Antigua and Barbuda,Antigua and Barbuda,2020-01-22,0
-38.4161,-63.6167,Argentina,Argentina,2020-01-22,0
40.0691,45.0382,Armenia,Armenia,2020-01-22,0
12.5186,-70.0358,Aruba @ Netherlands,Aruba,2020-01-22,0
-35.4735,149.0124,Australian Capital Territory @ Australia,Australian Capital Territory,2020-01-22,0
47.5162,14.5501,Austria,Austria,2020-01-22,0
40.1431,47.5769,Azerbaijan,Azerbaijan,2020-01-22,0
25.0343,-77.3963,Bahamas,Bahamas,2020-01-22,0
26.0275,50.55,Bahrain,Bahrain,2020-01-22,0
23.685,90.3563,Bangladesh,Bangladesh,2020-01-22,0
13.1939,-59.5432,Barbados,Barbados,2020-01-22,0
40.1824,116.4142,Beijing @ China,Beijing,2020-01-22,14
53.7098,27.9534,Belarus,Belarus,2020-01-22,0
50.8333,4,Belgium,Belgium,2020-01-22,0
13.1939,-59.5432,Belize,Belize,2020-01-22,0
9.3077,2.3158,Benin,Benin,2020-01-22,0
32.3078,-64.7505,Bermuda @ United Kingdom,Bermuda,2020-01-22,0
27.5142,90.4336,Bhutan,Bhutan,2020-01-22,0
-16.2902,-63.5887,Bolivia,Bolivia,2020-01-22,0
43.9159,17.6791,Bosnia and Herzegovina,Bosnia and Herzegovina,2020-01-22,0
-14.235,-51.9253,Brazil,Brazil,2020-01-22,0
49.2827,-123.1207,British Columbia @ Canada,British Columbia,2020-01-22,0
4.5353,114.7277,Brunei,Brunei,2020-01-22,0
42.7339,25.4858,Bulgaria,Bulgaria,2020-01-22,0
12.2383,-1.5616,Burkina Faso,Burkina Faso,2020-01-22,0
21.9162,95.956,Burma,Burma,2020-01-22,0
16.5388,-23.0418,Cabo Verde,Cabo Verde,2020-01-22,0
11.55,104.9167,Cambodia,Cambodia,2020-01-22,0
3.848,11.5021,Cameroon,Cameroon,2020-01-22,0
19.3133,-81.2546,Cayman Islands @ United Kingdom,Cayman Islands,2020-01-22,0
6.6111,20.9394,Central African Republic,Central African Republic,2020-01-22,0
15.4542,18.7322,Chad,Chad,2020-01-22,0
49.3723,-2.3644,Channel Islands @ United Kingdom,Channel Islands,2020-01-22,0
-35.6751,-71.543,Chile,Chile,2020-01-22,0
30.0572,107.874,Chongqing @ China,Chongqing,2020-01-22,6
4.5709,-74.2973,Colombia,Colombia,2020-01-22,0
-4.0383,21.7587,Congo (Brazzaville),Congo (Brazzaville),2020-01-22,0
-4.0383,21.7587,Congo (Kinshasa),Congo (Kinshasa),2020-01-22,0
9.7489,-83.7534,Costa Rica,Costa Rica,2020-01-22,0
7.54,-5.5471,Cote d'Ivoire,Cote d'Ivoire,2020-01-22,0
45.1,15.2,Croatia,Croatia,2020-01-22,0
22,-80,Cuba,Cuba,2020-01-22,0
12.1696,-68.99,Curacao @ Netherlands,Curacao,2020-01-22,0
35.1264,33.4299,Cyprus,Cyprus,2020-01-22,0
49.8175,15.473,Czechia,Czechia,2020-01-22,0
56.2639,9.5018,Denmark,Denmark,2020-01-22,0
0,0,Diamond Princess,Diamond Princess,2020-01-22,0
0,0,Diamond Princess @ Canada,Diamond Princess,2020-01-22,0
11.8251,42.5903,Djibouti,Djibouti,2020-01-22,0
15.415,-61.371,Dominica,Dominica,2020-01-22,0
18.7357,-70.1627,Dominican Republic,Dominican Republic,2020-01-22,0
-1.8312,-78.1834,Ecuador,Ecuador,2020-01-22,0
26,30,Egypt,Egypt,2020-01-22,0
13.7942,-88.8965,El Salvador,El Salvador,2020-01-22,0
1.5,10,Equatorial Guinea,Equatorial Guinea,2020-01-22,0
15.1794,39.7823,Eritrea,Eritrea,2020-01-22,0
58.5953,25.0136,Estonia,Estonia,2020-01-22,0
-26.5225,31.4659,Eswatini,Eswatini,2020-01-22,0
9.145,40.4897,Ethiopia,Ethiopia,2020-01-22,0
61.8926,-6.9118,Faroe Islands @ Denmark,Faroe Islands,2020-01-22,0
-17.7134,178.065,Fiji,Fiji,2020-01-22,0
64,26,Finland,Finland,2020-01-22,0
46.2276,2.2137,France,France,2020-01-22,0
3.9339,-53.1258,French Guiana @ France,French Guiana,2020-01-22,0
-17.6797,149.4068,French Polynesia @ France,French Polynesia,2020-01-22,0
26.0789,117.9874,Fujian @ China,Fujian,2020-01-22,1
-0.8037,11.6094,Gabon,Gabon,2020-01-22,0
13.4432,-15.3101,Gambia,Gambia,2020-01-22,0
37.8099,101.0583,Gansu @ China,Gansu,2020-01-22,0
42.3154,43.3569,Georgia,Georgia,2020-01-22,0
51,9,Germany,Germany,2020-01-22,0
7.9465,-1.0232,Ghana,Ghana,2020-01-22,0
36.1408,-5.3536,Gibraltar @ United Kingdom,Gibraltar,2020-01-22,0
37.6489,-122.6655,Grand Princess @ Canada,Grand Princess,2020-01-22,0
39.0742,21.8243,Greece,Greece,2020-01-22,0
71.7069,-42.6043,Greenland @ Denmark,Greenland,2020-01-22,0
12.1165,-61.679,Grenada,Grenada,2020-01-22,0
16.25,-61.5833,Guadeloupe @ France,Guadeloupe,2020-01-22,0
23.3417,113.4244,Guangdong @ China,Guangdong,2020-01-22,26
23.8298,108.7881,Guangxi @ China,Guangxi,2020-01-22,2
15.7835,-90.2308,Guatemala,Guatemala,2020-01-22,0
9.9456,-9.6966,Guinea,Guinea,2020-01-22,0
11.8037,-15.1804,Guinea-Bissau,Guinea-Bissau,2020-01-22,0
26.8154,106.8748,Guizhou @ China,Guizhou,2020-01-22,1
5,-58.75,Guyana,Guyana,2020-01-22,0
19.1959,109.7453,Hainan @ China,Hainan,2020-01-22,4
18.9712,-72.2852,Haiti,Haiti,2020-01-22,0
39.549,116.1306,Hebei @ China,Hebei,2020-01-22,1
47.862,127.7615,Heilongjiang @ China,Heilongjiang,2020-01-22,0
33.882,113.614,Henan @ China,Henan,2020-01-22,5
41.9029,12.4534,Holy See,Holy See,2020-01-22,0
15.2,-86.2419,Honduras,Honduras,2020-01-22,0
22.3,114.2,Hong Kong @ China,Hong Kong,2020-01-22,0
30.9756,112.2707,Hubei @ China,Hubei,2020-01-22,444
27.6104,111.7088,Hunan @ China,Hunan,2020-01-22,4
47.1625,19.5033,Hungary,Hungary,2020-01-22,0
64.9631,-19.0208,Iceland,Iceland,2020-01-22,0
21,78,India,India,2020-01-22,0
-0.7893,113.9213,Indonesia,Indonesia,2020-01-22,0
44.0935,113.9448,Inner Mongolia @ China,Inner Mongolia,2020-01-22,0
32,53,Iran,Iran,2020-01-22,0
33,44,Iraq,Iraq,2020-01-22,0
53.1424,-7.6921,Ireland,Ireland,2020-01-22,0
54.2361,-4.5481,Isle of Man @ United Kingdom,Isle of Man,2020-01-22,0
31,35,Israel,Israel,2020-01-22,0
43,12,Italy,Italy,2020-01-22,0
18.1096,-77.2975,Jamaica,Jamaica,2020-01-22,0
36,138,Japan,Japan,2020-01-22,2
32.9711,119.455,Jiangsu @ China,Jiangsu,2020-01-22,1
27.614,115.7221,Jiangxi @ China,Jiangxi,2020-01-22,2
43.6661,126.1923,Jilin @ China,Jilin,2020-01-22,0
31.24,36.51,Jordan,Jordan,2020-01-22,0
48.0196,66.9237,Kazakhstan,Kazakhstan,2020-01-22,0
-0.0236,37.9062,Kenya,Kenya,2020-01-22,0
36,128,"Korea, South","Korea, South",2020-01-22,1
42.602636,20.902977,Kosovo,Kosovo,2020-01-22,0
29.5,47.75,Kuwait,Kuwait,2020-01-22,0
41.2044,74.7661,Kyrgyzstan,Kyrgyzstan,2020-01-22,0
19.85627,102.495496,Laos,Laos,2020-01-22,0
56.8796,24.6032,Latvia,Latvia,2020-01-22,0
33.8547,35.8623,Lebanon,Lebanon,2020-01-22,0
41.2956,122.6085,Liaoning @ China,Liaoning,2020-01-22,2
6.4281,-9.4295,Liberia,Liberia,2020-01-22,0
26.3351,17.228331,Libya,Libya,2020-01-22,0
47.14,9.55,Liechtenstein,Liechtenstein,2020-01-22,0
55.1694,23.8813,Lithuania,Lithuania,2020-01-22,0
49.8153,6.1296,Luxembourg,Luxembourg,2020-01-22,0
22.1667,113.55,Macau @ China,Macau,2020-01-22,1
-18.7669,46.8691,Madagascar,Madagascar,2020-01-22,0
2.5,112.5,Malaysia,Malaysia,2020-01-22,0
3.2028,73.2207,Maldives,Maldives,2020-01-22,0
17.570692,-3.996166,Mali,Mali,2020-01-22,0
35.9375,14.3754,Malta,Malta,2020-01-22,0
53.7609,-98.8139,Manitoba @ Canada,Manitoba,2020-01-22,0
14.6415,-61.0242,Martinique @ France,Martinique,2020-01-22,0
21.0079,10.9408,Mauritania,Mauritania,2020-01-22,0
-20.2,57.5,Mauritius,Mauritius,2020-01-22,0
-12.8275,45.1662,Mayotte @ France,Mayotte,2020-01-22,0
23.6345,-102.5528,Mexico,Mexico,2020-01-22,0
47.4116,28.3699,Moldova,Moldova,2020-01-22,0
43.7333,7.4167,Monaco,Monaco,2020-01-22,0
46.8625,103.8467,Mongolia,Mongolia,2020-01-22,0
42.5,19.3,Montenegro,Montenegro,2020-01-22,0
16.7425,-62.1874,Montserrat @ United Kingdom,Montserrat,2020-01-22,0
31.7917,-7.0926,Morocco,Morocco,2020-01-22,0
-18.665695,35.529562,Mozambique,Mozambique,2020-01-22,0
-22.9576,18.4904,Namibia,Namibia,2020-01-22,0
28.1667,84.25,Nepal,Nepal,2020-01-22,0
52.1326,5.2913,Netherlands,Netherlands,2020-01-22,0
46.5653,-66.4619,New Brunswick @ Canada,New Brunswick,2020-01-22,0
-20.9043,165.618,New Caledonia @ France,New Caledonia,2020-01-22,0
-33.8688,151.2093,New South Wales @ Australia,New South Wales,2020-01-22,0
-40.9006,174.886,New Zealand,New Zealand,2020-01-22,0
