state,county,fips,lat_county,long_county
AL,Autauga,1001,32.536382,-86.64449
AL,Baldwin,1003,30.659218,-87.746067
AL,Barbour,1005,31.87067,-85.405456
AL,Bibb,1007,33.015893,-87.127148
AL,Blount,1009,33.977448,-86.567246
AL,Bullock,1011,32.101759,-85.717261
AL,Butler,1013,31.751667,-86.681969
AL,Calhoun,1015,33.771706,-85.822513
AL,Chambers,1017,32.917943,-85.391812
AL,Cherokee,1019,34.069515,-85.654242
AL,Chilton,1021,32.85406,-86.726628
AL,Choctaw,1023,31.991008,-88.248887
AL,Clarke,1025,31.685521,-87.818624
AL,Clay,1027,33.267809,-85.862051
AL,Cleburne,1029,33.671981,-85.516109
AL,Coffee,1031,31.402183,-85.989201
AL,Colbert,1033,34.703112,-87.801457
AL,Conecuh,1035,31.428293,-86.992029
AL,Coosa,1037,32.931445,-86.243482
AL,Covington,1039,31.243987,-86.448721
AL,Crenshaw,1041,31.732826,-86.319222
AL,Cullman,1043,34.131923,-86.869267
AL,Dale,1045,31.430654,-85.609476
AL,Dallas,1047,32.33354,-87.114356
AL,DeKalb,1049,34.460929,-85.803992
AL,Elmore,1051,32.597229,-86.142739
AL,Escambia,1053,31.121748,-87.168429
AL,Etowah,1055,34.047638,-86.03442
AL,Fayette,1057,33.732249,-87.752049
AL,Franklin,1059,34.441988,-87.842815
AL,Geneva,1061,31.090866,-85.824346
AL,Greene,1063,32.844497,-87.964201
AL,Hale,1065,32.752796,-87.623061
AL,Henry,1067,31.516978,-85.239971
AL,Houston,1069,31.158193,-85.296398
AL,Jackson,1071,34.763522,-85.9774
AL,Jefferson,1073,33.553444,-86.896536
AL,Lamar,1075,33.787085,-88.087431
AL,Lauderdale,1077,34.904122,-87.650997
AL,Lawrence,1079,34.529776,-87.321865
AL,Lee,1081,32.604064,-85.353048
AL,Limestone,1083,34.810239,-86.9814
AL,Lowndes,1085,32.147888,-86.650586
AL,Macon,1087,32.387027,-85.692887
AL,Madison,1089,34.764238,-86.55108
AL,Marengo,1091,32.247591,-87.791091
AL,Marion,1093,34.138219,-87.881551
AL,Marshall,1095,34.309564,-86.321668
AL,Mobile,1097,30.684573,-88.196568
AL,Monroe,1099,31.580332,-87.383266
AL,Montgomery,1101,32.203651,-86.203831
AL,Morgan,1103,34.454484,-86.846402
AL,Perry,1105,32.639005,-87.293827
AL,Pickens,1107,33.296809,-88.096878
AL,Pike,1109,31.798726,-85.941997
AL,Randolph,1111,33.296475,-85.464068
AL,Russell,1113,32.289811,-85.18698
AL,St. Clair,1115,33.712963,-86.315663
AL,Shelby,1117,33.262937,-86.678104
AL,Sumter,1119,32.597481,-88.200057
AL,Talladega,1121,33.369277,-86.175805
AL,Tallapoosa,1123,32.863369,-85.799553
AL,Tuscaloosa,1125,33.290202,-87.52286
AL,Walker,1127,33.791571,-87.301092
AL,Washington,1129,31.406974,-88.202078
AL,Wilcox,1131,31.99033,-87.302205
AL,Winston,1133,34.155888,-87.364147
AK,Aleutians East,2013,55.243722,-161.950749
AK,Aleutians West,2016,51.959447,178.338813
AK,Anchorage,2020,61.177549,-149.274354
AK,Bethel,2050,60.928916,-160.15335
AK,Bristol Bay,2060,58.731373,-156.986612
AK,Denali,2068,63.682732,-150.026719
AK,Dillingham,2070,59.824816,-158.602233
AK,Fairbanks North Star,2090,64.690832,-146.599867
AK,Haines,2100,59.099905,-135.578102
AK,Hoonah-Angoon,2105,58.076434,-135.1851
AK,Juneau,2110,58.3727,-134.178781
AK,Kenai Peninsula,2122,60.366373,-152.321973
AK,Ketchikan Gateway,2130,55.449938,-131.106685
AK,Kodiak Island,2150,57.553611,-153.630911
AK,Lake and Peninsula,2164,58.205065,-156.705188
AK,Matanuska-Susitna,2170,62.182174,-149.407974
AK,Nome,2180,64.783686,-164.188912
AK,North Slope,2185,69.449343,-153.47283
AK,Northwest Arctic,2188,67.005066,-160.021086
AK,Petersburg,2195,56.639612,-133.527996
AK,Prince of Wales-Hyder,2198,55.415683,-132.875734
AK,Sitka,2220,57.142509,-135.332624
AK,Skagway,2230,59.575097,-135.335418
AK,Southeast Fairbanks,2240,63.864997,-143.218628
AK,Valdez-Cordova,2261,61.34984,-145.023141
AK,Wade Hampton,2270,62.283174,-163.19095
AK,Wrangell,2275,56.279121,-132.040326
AK,Yakutat,2282,59.999083,-140.239593
AK,Yukon-Koyukuk,2290,65.376131,-151.576855
AZ,Apache,4001,35.385845,-109.493747
AZ,Cochise,4003,31.881793,-109.75412
AZ,Coconino,4005,35.829692,-111.773728
AZ,Gila,4007,33.789618,-110.81187
AZ,Graham,4009,32.931828,-109.87831
AZ,Greenlee,4011,33.238872,-109.242323
AZ,La Paz,4012,33.727625,-114.038793
AZ,Maricopa,4013,33.346541,-112.495534
AZ,Mohave,4015,35.717705,-113.749689
AZ,Navajo,4017,35.390934,-110.320908
AZ,Pima,4019,32.128237,-111.783018
AZ,Pinal,4021,32.91891,-111.367257
AZ,Santa Cruz,4023,31.525904,-110.84519
AZ,Yavapai,4025,34.630044,-112.573745
AZ,Yuma,4027,32.773942,-113.910905
AR,Arkansas,5001,34.289574,-91.376547
AR,Ashley,5003,33.190835,-91.772267
AR,Baxter,5005,36.28071,-92.330438
AR,Benton,5007,36.337825,-94.256187
AR,Boone,5009,36.304308,-93.079204
AR,Bradley,5011,33.463819,-92.168164
AR,Calhoun,5013,33.56046,-92.513879
